   vsn    | size  | free  | location |  modified  |   ship   | transit 
 USN+0224 |  8000 |  2053 | ho       | 2020-04-22 | 4963787135        | f
 HAY-0041 |   960 |   960 | ho       | 2020-02-19 |                   | f
 HOB+0122 | 32000 |  6382 | ho       | 2019-05-06 | 1102406012        | f
 JPL+0418 | 16000 |  2228 | ho       | 2019-05-12 |                   | f
 IAA-0040 |  2000 |  1006 | ho       | 2019-12-12 | 2353728786        | f
 HOB+1004 | 16000 |  3928 | ho       | 2020-04-07 | URV76408          | f
 OAN+0104 |  8000 |  2100 | ho       | 2019-10-21 | URV76394          | f
 BKG+0137 |  2000 |   857 | ho       | 2019-06-13 | 9498663112        | f
 HOB+0051 |  6000 |  1090 | ho       | 2019-04-13 |                   | f
 USN-0005 |  2000 |   883 | ho       | 2020-06-02 | 7663703751        | f
 HOB+0069 |  8000 |  1138 | ho       | 2020-03-13 | 2884714792        | f
 USN-0102 |  6000 |  6000 | ho       | 2020-07-03 |                   | f
 HOB+0079 |  8000 |  8000 | ho       | 2020-04-16 | 2928687716        | f
 HOB+0113 | 16000 |  9318 | ho       | 2020-04-03 | URV76407          | f
 HOB+0101 | 16000 | 10293 | ho       | 2020-08-13 | URV76400          | f
 HAY-0050 |  6000 |   154 | ho       | 2020-07-30 | 1654047113        | f
 HOB+0109 | 16000 |  6042 | ho       | 2020-06-02 | 3144867530        | f
 HOB+0033 |  6000 |  1260 | ho       | 2020-06-04 | 3891420470        | f
 HOB+0090 |  8000 |  8000 | ho       | 2020-07-03 | 4011000766        | f
 HOB+0100 | 16000 |  4948 | ho       | 2020-07-24 | 6225830284        | f
 HAY-0062 |  4000 |   891 | ho       | 2019-06-12 | 949883285         | f
 BKG+0141 |  4000 |  3226 | ho       | 2020-01-08 | 3408111976        | f
 WW+21030 | 16000 |  7622 | ho       | 2020-07-30 |                   | f
 HOB+0103 | 16000 |  3872 | ho       | 2020-07-30 | URV76416          | f
 HOB+0056 |  8000 |   832 | ho       | 2020-03-17 | 3078586453        | f
 NTO-0015 |  3200 |   221 | ho       | 2020-07-30 | 2378284440        | f
 HOB+0129 | 32000 | 15183 | ho       | 2020-03-24 | URV76403          | f
 JOD-0024 |  2000 |     0 | ho       | 2020-07-13 |                   | f
 TR-00022 |  2000 |   965 | ho       | 2020-07-01 | 4777623211        | f
